1	KeyDialQwertyZigZag	SwipeKeyQwerty	StandardQwerty
2	StandardQwerty	KeyDialQwertyZigZag	SwipeKeyQwerty
3	SwipeKeyQwerty	StandardQwerty	KeyDialQwertyZigZag
4	KeyDialQwertyZigZag	SwipeKeyQwerty	StandardQwerty
5	StandardQwerty	KeyDialQwertyZigZag	SwipeKeyQwerty
6	SwipeKeyQwerty	StandardQwerty	KeyDialQwertyZigZag
7	KeyDialQwertyZigZag	StandardQwerty	SwipeKeyQwerty
8	SwipeKeyQwerty	KeyDialQwertyZigZag	StandardQwerty
9	StandardQwerty	SwipeKeyQwerty	KeyDialQwertyZigZag
10	SwipeKeyQwerty	StandardQwerty	KeyDialQwertyZigZag
11	StandardQwerty	KeyDialQwertyZigZag	SwipeKeyQwerty
12	KeyDialQwertyZigZag	SwipeKeyQwerty	StandardQwerty
